P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_37_719.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_37_719.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_37_719.jpg,0,1,0,30.19028
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_37_778.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_37_778.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_37_778.jpg,0,1,0,30.1903
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_37_867.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_37_867.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_37_867.jpg,0,1,0,30.19029
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_37_952.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_37_952.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_37_952.jpg,0,1,0,30.1903
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_38_035.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_38_035.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_38_035.jpg,0,1,0,30.19029
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_38_126.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_38_126.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_38_126.jpg,0,1,0,30.19027
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_38_214.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_38_214.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_38_214.jpg,-0.1,1,0,30.18769
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_38_299.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_38_299.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_38_299.jpg,-0.3,1,0,30.16916
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_38_398.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_38_398.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_38_398.jpg,-0.5500001,1,0,30.13923
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_38_491.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_38_491.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_38_491.jpg,0,1,0,30.17446
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_38_574.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_38_574.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_38_574.jpg,0,1,0,30.18674
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_38_674.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_38_674.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_38_674.jpg,0,1,0,30.18996
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_38_756.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_38_756.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_38_756.jpg,0,1,0,30.19024
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_38_833.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_38_833.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_38_833.jpg,0,1,0,30.19029
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_38_913.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_38_913.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_38_913.jpg,0,1,0,30.19029
P:\Self Driving\NewData\IMG\center_2020_03_15_10_14_38_990.jpg,P:\Self Driving\NewData\IMG\left_2020_03_15_10_14_38_990.jpg,P:\Self Driving\NewData\IMG\right_2020_03_15_10_14_38_990.jpg,0,1,0,30.19029
